Tick #1
Last tick 0 agents died
50/50 players still alive:
Agent #39 at (82.06961923886497, 33.37650533205821), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #40 at (176.16190464763488, 206.42978540814286), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #41 at (37.58738865207612, 299.25165386311255), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #42 at (59.13294904427098, 295.0924596789735), 100.0/100.0 HP left, Weapon: Pistol, Armor: none
Agent #43 at (215.87993073703626, 33.97200050063404), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #44 at (413.439676202521, 15.677750609242864), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #45 at (38.43332843922271, 417.23964495215307), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #46 at (428.0194704112924, 484.42749876114294), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #47 at (242.98562377893606, 11.328665042333986), 100.0/100.0 HP left, Weapon: Shotgun, Armor: none
Agent #48 at (57.30790683412954, 283.3597176869481), 94.0/100.0 HP left, Weapon: none, Armor: none
Agent #49 at (484.5633928873751, 184.32187713103946), 100.0/100.0 HP left, Weapon: Pistol, Armor: none
Tick #4
Last tick 0 agents died
50/50 players still alive:
Agent #0 at (244.6913022319827, 485.57575102345436), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #1 at (326.4733115074751, 149.3013561782941), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #2 at (128.83944949889565, 231.05823634336045), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #3 at (101.39397169423304, 240.45878798779722), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #4 at (81.64349914869983, 80.55216714364869), 100.0/100.0 HP left, Weapon: Shotgun, Armor: none
Agent #5 at (470.699287975328, 408.45357420386523), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #6 at (166.26367203161183, 421.14256105437164), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #7 at (158.5532490053306, 193.24760359005495), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #8 at (151.99309742621108, 84.28837356597434), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #9 at (179.35639783023205, 191.1670570615065), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #10 at (443.94393728459295, 88.78891449339855), 96.0/100.0 HP left, Weapon: none, Armor: none
Agent #11 at (92.48681941391688, 468.26496719354583), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #12 at (407.6667161381279, 19.062711197504036), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #13 at (475.61777491032757, 320.5824968092881), 92.0/100.0 HP left, Weapon: none, Armor: none
Agent #14 at (368.8361397623129, 294.12655746340204), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #15 at (194.16775102305434, 164.97081882064185), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #16 at (352.9317106287861, 307.14005794828455), 100.0/100.0 HP left, Weapon: Rifle, Armor: none
Agent #17 at (71.35619050842703, 347.2494132947136), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #18 at (282.20905063431206, 409.4167546503643), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #19 at (136.5870862310233, 246.76052667147982), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #20 at (78.20327668757815, 295.4053416380282), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #21 at (84.63037018995267, 61.06173868580056), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #22 at (480.8851972168588, 12.225790006012847), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #23 at (66.79754593758548, 428.0076460301858), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #24 at (134.35734431536918, 460.92756513594884), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #25 at (189.0913377757747, 349.76536094888104), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #26 at (425.007651265616, 280.14756437657815), 94.0/100.0 HP left, Weapon: Rifle, Armor: none
Agent #27 at (326.8343424131625, 225.40753414492093), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #28 at (8.931832349102129, 210.92362123769573), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #29 at (301.63710006607687, 328.81215319524733), 96.0/100.0 HP left, Weapon: none, Armor: none
Agent #30 at (173.8754696183698, 298.08064786332585), 100.0/100.0 HP left, Weapon: Rifle, Armor: none
Agent #31 at (460.6612558060453, 486.6150376729921), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #32 at (384.64023169835673, 84.92326498424067), 100.0/100.0 HP left, Weapon: Rifle, Armor: none
Agent #33 at (470.5884340974242, 365.57886098703386), 96.0/100.0 HP left, Weapon: none, Armor: none
Agent #34 at (283.29643647227124, 465.042137353207), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #35 at (429.61862210992285, 379.28368651393293), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #36 at (184.55536830980878, 128.34874019502564), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #37 at (370.0823847142047, 21.472087859764994), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #38 at (281.6752736762043, 221.9542565732437), 96.0/100.0 HP left, Weapon: none, Armor: none
Agent #39 at (80.49092313038469, 32.14861339989594), 100.0/100.0 HP left, Weapon: none, Armor: none
